ID,Round,Home,Away,Phase,Team_In_Poss,Location,Side,Play_Start,Points_Difference,Seconds_Remaining,Yellow_Cards_Own,Yellow_Cards_Opp,Red_Cards_Own,Red_Cards_Opp,Outcome
95,1,Harlequins,Sale,2,Home,22m-5m (opp),Left,Turnover Steal,-3,2462,0,0,0,0,For Converted Try (+7)
96,1,Harlequins,Sale,3,Home,22m-5m (opp),Left,Turnover Steal,-3,2452,0,0,0,0,For Converted Try (+7)
97,1,Harlequins,Sale,1,Away,5m-22m (own),Right,Restart Kick,-4,2395,0,0,0,0,Against Penalty Kick (-3)
98,1,Harlequins,Sale,2,Away,5m-22m (own),Right,Restart Kick,-4,2389,0,0,0,0,Against Penalty Kick (-3)
99,1,Harlequins,Sale,1,Home,Half-10m (opp),Left,Lineout,4,2344,0,0,0,0,For Penalty Kick (+3)
100,1,Harlequins,Sale,1,Home,10m-Half (own),Left,Lineout,4,2317,0,0,0,0,For Penalty Kick (+3)
101,1,Harlequins,Sale,1,Home,10m-22m (opp),Centre,Kick (Open Play),4,2302,0,0,0,0,For Penalty Kick (+3)
102,1,Harlequins,Sale,1,Home,22m-10m (own),Left,Restart Kick,7,2195,0,0,0,0,For Penalty Kick (+3)
103,1,Harlequins,Sale,2,Home,22m-10m (own),Left,Restart Kick,7,2188,0,0,0,0,For Penalty Kick (+3)
104,1,Harlequins,Sale,3,Home,22m-10m (own),Left,Restart Kick,7,2181,0,0,0,0,For Penalty Kick (+3)
105,1,Harlequins,Sale,4,Home,22m-10m (own),Left,Restart Kick,7,2168,0,0,0,0,For Penalty Kick (+3)
106,1,Harlequins,Sale,1,Home,22m-10m (own),Left,Kick (Open Play),7,2159,0,0,0,0,For Penalty Kick (+3)
107,1,Harlequins,Sale,2,Home,22m-10m (own),Right,Kick (Open Play),7,2141,0,0,0,0,For Penalty Kick (+3)
108,1,Harlequins,Sale,3,Home,10m-Half (own),Right,Kick (Open Play),7,2132,0,0,0,0,For Penalty Kick (+3)
109,1,Harlequins,Sale,4,Home,10m-Half (own),Centre,Kick (Open Play),7,2125,0,0,0,0,For Penalty Kick (+3)
110,1,Harlequins,Sale,1,Away,22m-10m (own),Left,Kick (Open Play),-7,2116,0,0,0,0,Against Penalty Kick (-3)
111,1,Harlequins,Sale,2,Away,22m-10m (own),Left,Kick (Open Play),-7,2108,0,0,0,0,Against Penalty Kick (-3)
112,1,Harlequins,Sale,3,Away,22m-10m (own),Left,Kick (Open Play),-7,2094,0,0,0,0,Against Penalty Kick (-3)
113,1,Harlequins,Sale,1,Home,22m-10m (own),Right,Kick (Open Play),7,2087,0,0,0,0,For Penalty Kick (+3)
114,1,Harlequins,Sale,1,Away,5m-22m (own),Left,Kick (Open Play),-7,2082,0,0,0,0,Against Penalty Kick (-3)
115,1,Harlequins,Sale,1,Home,22m-10m (own),Right,Kick (Open Play),7,2074,0,0,0,0,For Penalty Kick (+3)
